signal_id,ehtimollik
SG_000001,0.4871780342440022
SG_000007,0.5529634481723326
SG_000009,0.3885717124016554
SG_000010,0.36005832066509513
SG_000011,0.5402080860744691
SG_000018,0.518420693343094
SG_000024,0.5471184272095492
SG_000026,0.45796711720575994
SG_000032,0.5464887837538301
SG_000033,0.4625220052167719
SG_000034,0.3715024155565053
SG_000036,0.4377975010505531
SG_000039,0.46557380750373506
SG_000048,0.47405236537035134
SG_000049,0.47227015611845685
SG_000050,0.6029687122959978
SG_000053,0.45502176587634097
SG_000054,0.6071744959102353
SG_000055,0.48871621629393175
SG_000058,0.46288191922057287
SG_000059,0.49282323714207804
SG_000061,0.5344395071867682
SG_000062,0.5468535624923909
SG_000072,0.490326223342592
SG_000073,0.4599851147488818
SG_000075,0.5221849638261964
SG_000080,0.5816169019060147
SG_000081,0.555944970899458
SG_000083,0.4996910124387067
SG_000086,0.5456215359981234
SG_000087,0.5284575141238336
SG_000092,0.5764045102715326
SG_000099,0.5584229124415886
SG_000100,0.4113427649047186
SG_000105,0.4263808687603448
SG_000106,0.5516494473400915
SG_000107,0.3541236100141534
SG_000118,0.4994279665716756
SG_000120,0.436484848915538
SG_000125,0.4595369703210947
SG_000129,0.42680556484085674
SG_000137,0.506824628787039
SG_000146,0.5193196513077786
SG_000147,0.5564059132733506
SG_000149,0.5508461697461136
SG_000153,0.5542144361092303
SG_000161,0.5858110027377579
SG_000163,0.4780499033440736
SG_000165,0.5503091556043104
SG_000173,0.4752247934927716
SG_000178,0.5007056945418965
SG_000179,0.4266550170196345
SG_000187,0.5969421885072205
SG_000192,0.3918945174487384
SG_000193,0.4890355737155536
SG_000195,0.4664887982008145
SG_000196,0.44885328688994824
SG_000201,0.5189117872394542
SG_000203,0.4651161143337285
SG_000205,0.5924421655691176
SG_000207,0.5257038961116499
SG_000211,0.5051886978484793
SG_000214,0.5000862814311183
SG_000217,0.45920934899934296
SG_000218,0.591526204041029
SG_000219,0.5035786040105993
SG_000227,0.460952574503395
SG_000229,0.5414565539931276
SG_000232,0.4637208488777979
SG_000240,0.38346308754901853
SG_000242,0.5638421094563639
SG_000244,0.4643799540877645
SG_000246,0.4529219548038936
SG_000250,0.5073090197668275
SG_000253,0.5217964778911873
SG_000262,0.5109754655423921
SG_000269,0.6011268339643668
SG_000270,0.435769916425738
SG_000271,0.608952722657799
SG_000284,0.5634226720516949
SG_000286,0.5124592544880551
SG_000287,0.38202349559398147
SG_000290,0.5957404261881505
SG_000291,0.43741960293281884
SG_000301,0.512308474047001
SG_000302,0.574297133950143
SG_000304,0.4314493050702966
SG_000306,0.4533334962335517
SG_000309,0.5444846804870672
SG_000314,0.5842726068780588
SG_000319,0.6155913928042002
SG_000320,0.44685040292603273
SG_000321,0.5095965813271647
SG_000325,0.5611953828155986
SG_000328,0.48607555471213043
SG_000329,0.4403210457517013
SG_000333,0.5227592122031147
SG_000334,0.5947597994207331
SG_000335,0.48443792585209194
SG_000339,0.44168231479028885
SG_000341,0.49581232241130074
SG_000345,0.5307132545243352
SG_000347,0.46357007964500535
SG_000349,0.5358766391697676
SG_000350,0.623725909821732
SG_000351,0.344206144498766
SG_000357,0.47112079352801056
SG_000360,0.5576186998750996
SG_000366,0.550278225086001
SG_000368,0.5227502064606079
SG_000370,0.4916204803712857
SG_000378,0.4685055282809866
SG_000386,0.5323545114522823
SG_000394,0.4424107756766187
SG_000395,0.3266877901493303
SG_000397,0.5654525118306848
SG_000398,0.561521478923224
SG_000401,0.5518363419225415
SG_000402,0.5201534999736126
SG_000414,0.5852029633744681
SG_000415,0.38675427072150226
SG_000419,0.5186368457555698
SG_000420,0.5183293819343142
SG_000422,0.6180469546397187
SG_000425,0.4331121505273141
SG_000430,0.3420609028615288
SG_000431,0.38941811392397035
SG_000435,0.4762808275484083
SG_000436,0.5797633270031874
SG_000440,0.4706494815216026
SG_000444,0.39960238867775927
SG_000450,0.5124831952039253
SG_000452,0.4998031524276478
SG_000454,0.4437495529459959
SG_000460,0.5265274253998715
SG_000462,0.4326315085460315
SG_000471,0.40776638737960114
SG_000474,0.5109657949806207
SG_000475,0.5490581908402993
SG_000476,0.4295753015043765
SG_000480,0.4810830319788473
SG_000482,0.587901312548621
SG_000484,0.565221825726145
SG_000487,0.56663164552092
SG_000488,0.5728701825891858
SG_000494,0.5015872644264244
SG_000496,0.48015948858558716
SG_000497,0.3333586652935838
SG_000498,0.4400581690281931
SG_000501,0.4733031788449929
SG_000506,0.4087803693004732
SG_000511,0.4826434962259289
SG_000513,0.4614629810758287
SG_000524,0.43777755061865214
SG_000526,0.5808273672023313
SG_000527,0.43987342868270535
SG_000530,0.4977841592477222
SG_000535,0.48662749801124394
SG_000536,0.48389611226057433
SG_000551,0.40996551876303394
SG_000561,0.607673176237815
SG_000563,0.676127939802068
SG_000567,0.5654489079097047
SG_000572,0.5319335296987424
SG_000580,0.48906733419591186
SG_000583,0.5235013630259536
SG_000585,0.5825864561736903
SG_000588,0.5130976742753957
SG_000591,0.5134891838552895
SG_000593,0.4768567758554672
SG_000594,0.4753808252707965
SG_000598,0.37572828343193304
SG_000603,0.44432080077290625
SG_000610,0.4494652698025225
SG_000614,0.5040273322183666
SG_000615,0.522407845647154
SG_000616,0.37839478964181295
SG_000617,0.4081847377534197
SG_000619,0.5373073596921518
SG_000621,0.582311950337159
SG_000629,0.565199726455765
SG_000633,0.4882426564816097
SG_000634,0.5265520809761806
SG_000638,0.5142404430764199
SG_000640,0.4221839045445459
SG_000643,0.5469500128767525
SG_000646,0.608149557222965
SG_000648,0.5322333515661043
SG_000657,0.417033764542244
SG_000662,0.47614025848399233
SG_000665,0.41150825182361606
SG_000666,0.5290345572956546
SG_000672,0.5566028207041596
SG_000674,0.508092353129202
SG_000677,0.4067360404510629
